行番号,部署,金額,割合,日付
1,営業二課,1234,7.1%,2026-02-02
2,開発部,2468,14.2%,2026-03-03
3,管理部,3702,21.3%,2026-04-04
4,広報,4936,28.4%,2026-05-05
5,営業一課,6170,35.5%,2026-06-06
6,営業二課,7404,42.6%,2026-07-07
7,開発部,8638,49.7%,2026-08-08
8,管理部,9872,56.8%,2026-09-09
9,広報,11106,63.9%,2026-10-10
10,営業一課,12340,70.0%,2026-11-11
11,営業二課,13574,77.1%,2026-12-12
12,開発部,14808,84.2%,2026-01-13
13,管理部,16042,91.3%,2026-02-14
14,広報,17276,98.4%,2026-03-15
15,営業一課,18510,5.5%,2026-04-16
16,営業二課,19744,12.6%,2026-05-17
17,開発部,20978,19.7%,2026-06-18
18,管理部,22212,26.8%,2026-07-19
19,広報,23446,33.9%,2026-08-20
20,営業一課,24680,40.0%,2026-09-21
21,営業二課,25914,47.1%,2026-10-22
22,開発部,27148,54.2%,2026-11-23
23,管理部,28382,61.3%,2026-12-24
24,広報,29616,68.4%,2026-01-25
25,営業一課,30850,75.5%,2026-02-26
26,営業二課,32084,82.6%,2026-03-27
27,開発部,33318,89.7%,2026-04-28
28,管理部,34552,96.8%,2026-05-01
29,広報,35786,3.9%,2026-06-02
30,営業一課,37020,10.0%,2026-07-03
31,営業二課,38254,17.1%,2026-08-04
32,開発部,39488,24.2%,2026-09-05
33,管理部,40722,31.3%,2026-10-06
34,広報,41956,38.4%,2026-11-07
35,営業一課,43190,45.5%,2026-12-08
36,営業二課,44424,52.6%,2026-01-09
37,開発部,45658,59.7%,2026-02-10
38,管理部,46892,66.8%,2026-03-11
39,広報,48126,73.9%,2026-04-12
40,営業一課,49360,80.0%,2026-05-13
41,営業二課,50594,87.1%,2026-06-14
42,開発部,51828,94.2%,2026-07-15
43,管理部,53062,1.3%,2026-08-16
44,広報,54296,8.4%,2026-09-17
45,営業一課,55530,15.5%,2026-10-18
46,営業二課,56764,22.6%,2026-11-19
47,開発部,57998,29.7%,2026-12-20
48,管理部,59232,36.8%,2026-01-21
49,広報,60466,43.9%,2026-02-22
50,営業一課,61700,50.0%,2026-03-23
51,営業二課,62934,57.1%,2026-04-24
52,開発部,64168,64.2%,2026-05-25
53,管理部,65402,71.3%,2026-06-26
54,広報,66636,78.4%,2026-07-27
55,営業一課,67870,85.5%,2026-08-28
56,営業二課,69104,92.6%,2026-09-01
57,開発部,70338,99.7%,2026-10-02
58,管理部,71572,6.8%,2026-11-03
59,広報,72806,13.9%,2026-12-04
60,営業一課,74040,20.0%,2026-01-05
61,営業二課,75274,27.1%,2026-02-06
62,開発部,76508,34.2%,2026-03-07
63,管理部,77742,41.3%,2026-04-08
64,広報,78976,48.4%,2026-05-09
65,営業一課,80210,55.5%,2026-06-10
66,営業二課,81444,62.6%,2026-07-11
67,開発部,82678,69.7%,2026-08-12
68,管理部,83912,76.8%,2026-09-13
69,広報,85146,83.9%,2026-10-14
70,営業一課,86380,90.0%,2026-11-15
71,営業二課,87614,97.1%,2026-12-16
72,開発部,88848,4.2%,2026-01-17
73,管理部,90082,11.3%,2026-02-18
74,広報,91316,18.4%,2026-03-19
75,営業一課,92550,25.5%,2026-04-20
76,営業二課,93784,32.6%,2026-05-21
77,開発部,95018,39.7%,2026-06-22
78,管理部,96252,46.8%,2026-07-23
79,広報,97486,53.9%,2026-08-24
80,営業一課,98720,60.0%,2026-09-25
81,営業二課,99954,67.1%,2026-10-26
82,開発部,101188,74.2%,2026-11-27
83,管理部,102422,81.3%,2026-12-28
84,広報,103656,88.4%,2026-01-01
85,営業一課,104890,95.5%,2026-02-02
86,営業二課,106124,2.6%,2026-03-03
87,開発部,107358,9.7%,2026-04-04
88,管理部,108592,16.8%,2026-05-05
89,広報,109826,23.9%,2026-06-06
90,営業一課,111060,30.0%,2026-07-07
91,営業二課,112294,37.1%,2026-08-08
92,開発部,113528,44.2%,2026-09-09
93,管理部,114762,51.3%,2026-10-10
94,広報,115996,58.4%,2026-11-11
95,営業一課,117230,65.5%,2026-12-12
96,営業二課,118464,72.6%,2026-01-13
97,開発部,119698,79.7%,2026-02-14
98,管理部,120932,86.8%,2026-03-15
99,広報,122166,93.9%,2026-04-16
100,営業一課,123400,0.0%,2026-05-17
101,営業二課,124634,7.1%,2026-06-18
102,開発部,125868,14.2%,2026-07-19
103,管理部,127102,21.3%,2026-08-20
104,広報,128336,28.4%,2026-09-21
105,営業一課,129570,35.5%,2026-10-22
106,営業二課,130804,42.6%,2026-11-23
107,開発部,132038,49.7%,2026-12-24
108,管理部,133272,56.8%,2026-01-25
109,広報,134506,63.9%,2026-02-26
110,営業一課,135740,70.0%,2026-03-27
111,営業二課,136974,77.1%,2026-04-28
112,開発部,138208,84.2%,2026-05-01
113,管理部,139442,91.3%,2026-06-02
114,広報,140676,98.4%,2026-07-03
115,営業一課,141910,5.5%,2026-08-04
116,営業二課,143144,12.6%,2026-09-05
117,開発部,144378,19.7%,2026-10-06
118,管理部,145612,26.8%,2026-11-07
119,広報,146846,33.9%,2026-12-08
120,営業一課,148080,40.0%,2026-01-09
121,営業二課,149314,47.1%,2026-02-10
122,開発部,150548,54.2%,2026-03-11
123,管理部,151782,61.3%,2026-04-12
124,広報,153016,68.4%,2026-05-13
125,営業一課,154250,75.5%,2026-06-14
126,営業二課,155484,82.6%,2026-07-15
127,開発部,156718,89.7%,2026-08-16
128,管理部,157952,96.8%,2026-09-17
129,広報,159186,3.9%,2026-10-18
130,営業一課,160420,10.0%,2026-11-19
131,営業二課,161654,17.1%,2026-12-20
132,開発部,162888,24.2%,2026-01-21
133,管理部,164122,31.3%,2026-02-22
134,広報,165356,38.4%,2026-03-23
135,営業一課,166590,45.5%,2026-04-24
136,営業二課,167824,52.6%,2026-05-25
137,開発部,169058,59.7%,2026-06-26
138,管理部,170292,66.8%,2026-07-27
139,広報,171526,73.9%,2026-08-28
140,営業一課,172760,80.0%,2026-09-01
141,営業二課,173994,87.1%,2026-10-02
142,開発部,175228,94.2%,2026-11-03
143,管理部,176462,1.3%,2026-12-04
144,広報,177696,8.4%,2026-01-05
145,営業一課,178930,15.5%,2026-02-06
146,営業二課,180164,22.6%,2026-03-07
147,開発部,181398,29.7%,2026-04-08
148,管理部,182632,36.8%,2026-05-09
149,広報,183866,43.9%,2026-06-10
150,営業一課,185100,50.0%,2026-07-11
151,営業二課,186334,57.1%,2026-08-12
152,開発部,187568,64.2%,2026-09-13
153,管理部,188802,71.3%,2026-10-14
